id	filename	md5	size	state
1265c8c2-e773-4537-be93-9cc43640c40b	40b31a5a-14b9-4acf-9ac6-5f356dd49066.rna_seq.genomic.gdc_realn.bam	cfc02c6688af95f5e61647b190bddf99	8465324980	released
0f77fee8-0622-4c68-8041-801677d63cd1	6159bc0b-2dfa-48e0-97b1-f2bf02b96a0f.rna_seq.genomic.gdc_realn.bam	e541ba5876aa9831a91cbe7d6cd2ec00	12882739612	released
d58e3f85-6a4d-4ea1-8e20-cea03497c0fa	a2c05faa-51bb-417a-8150-05f362dab56b.rna_seq.genomic.gdc_realn.bam	c25ea95c4671f793839fdd35db3a1e39	9000995059	released
f355563c-a285-4496-b55b-ca4ed562e7dc	14ca7a97-ca00-44a2-83b9-dac7af6fa6ab.rna_seq.genomic.gdc_realn.bam	ed8a09bf4e4b65cd2c7130b7f8ae3ae8	7824828250	released
b8af778a-72fe-48a9-bc1c-ae9496df360f	0da8b066-861e-4b10-bfdd-5b41764f7bc0.rna_seq.genomic.gdc_realn.bam	dc5c8a35d1f02f6eae30a7b71ab779de	14643725596	released
cd104daa-d25a-4a98-a079-48b2fde10036	9f9c089c-ae9f-44a2-a36c-6e1919d8cfd9.rna_seq.genomic.gdc_realn.bam	a6d293139aae4d3f2f03282be593f370	10278172633	released
5ebe39a2-c9f5-4bb3-ad46-267189f0bf50	951fc169-d890-4f88-8a45-673078762012.rna_seq.genomic.gdc_realn.bam	392618e1046ebd09909b96111d6e549b	11474471551	released
0d240ca3-39bf-4356-aec1-0c1671fbeb5f	ac42ff73-58ab-419b-950a-2a41758f2da7.rna_seq.genomic.gdc_realn.bam	70d15f99b341888b8ff40a7e770aa2cc	13269673577	released
555bba5e-6eb8-4326-beb5-8ba5c0b9265c	95ac739b-b30c-4531-b4a0-ccf7d77f71f1.rna_seq.genomic.gdc_realn.bam	d62084dac24fb6c963333bbc8454ca49	14015769845	released
218cbb60-c38f-4889-a83c-0c097127d125	8d8e180e-d6fb-4068-860e-648f2952d2e1.rna_seq.genomic.gdc_realn.bam	fd58664413fbe9c68e9497b348a5087c	11868154253	released
6c28adf7-7f1e-4c3c-99f8-d09dd93aaaae	ed244c77-b45d-4f4d-a66c-d3cde288b6e5.rna_seq.genomic.gdc_realn.bam	e29314f66bb92c1a2fa908a1fb9c9253	9681888111	released
fb52ae2b-58d2-4788-9b84-90e0c032a3a9	273f86f4-102d-4046-aaaf-51e131f3957e.rna_seq.genomic.gdc_realn.bam	f19dcb2144d01e5e854d84c4b9a7ea95	14237301131	released
6ad80210-6dda-4549-987a-5896ca7b1787	39f175b9-b5db-4e64-ad54-9e159e19fda7.rna_seq.genomic.gdc_realn.bam	8db3b52068dd43e1b3cd5ed38fe0b5df	15828527626	released
fe107064-24f7-42b7-939e-f497e570f65b	34938adf-c9e1-4470-8974-1e7f3728ae81.rna_seq.genomic.gdc_realn.bam	0af53eeb2e4726533d8110e31bb083a1	2515798987	released
2febb4f5-e71a-47fb-841c-9c723306e99b	96f81247-c246-4a32-be7a-08dd45810659.rna_seq.genomic.gdc_realn.bam	182bd6885a11f048f5906063cf76ce66	9435209932	released
5857b69d-ac1b-4e5d-bd47-d5c364e25518	a401d4e3-e4a9-4045-b5a2-acdf81210eb8.rna_seq.genomic.gdc_realn.bam	2759f56743be8d662f0bd615882887f5	11507607471	released
d3a945a9-c521-4211-a09a-c74e7f376e7f	ff4f44a0-8b11-4f0e-b9dc-cbeaf67d79ba.rna_seq.genomic.gdc_realn.bam	6ac673fe4e715e4ca65c2ef2adbb18eb	14380763565	released
fb18c269-6460-40b5-ab79-43517857f9a1	00c164a0-ea3a-48fb-bf79-356577459565.rna_seq.genomic.gdc_realn.bam	ed5766dabd6317d86415386b1a96ade0	9326765510	released
aab232ea-07f2-4dd0-868d-d929f77b361b	e0da6992-7fe5-4b61-9a6f-a816c82a8a32.rna_seq.genomic.gdc_realn.bam	321a2744fb85f8850c11a2bec4970044	12009754909	released
e7212e6e-0903-4cd1-8f33-6c5eaef60034	f39e09e1-3b92-4d1f-bca3-66d3bd996083.rna_seq.genomic.gdc_realn.bam	fe86b82f2cb91df5e9bc86472eaa800b	7603215358	released
c923603a-b66e-43d8-99be-0bfc2656a483	0e15cbf4-bdcc-43cf-a2a2-c86294281e56.rna_seq.genomic.gdc_realn.bam	a3cab4127c4c0b43a567d3e6bb9de304	4451545693	released
134a2b91-f9fe-4540-9cbf-3cd0468ce291	1bd99d0a-6691-4589-b48a-adda32736073.rna_seq.genomic.gdc_realn.bam	0063a3bcf84742397d28e363482f886b	11965245747	released
2109447e-ff33-42c7-a968-5e45949311f4	9ec99710-d18b-4272-a553-a66d1017688e.rna_seq.genomic.gdc_realn.bam	143d75e3257d90d5dfb130208d46e16b	14932519814	released
1f0970bc-ed3e-4c4f-997f-ffe692be75fa	6f088d8e-6b5f-4964-be06-ba8d3b03d219.rna_seq.genomic.gdc_realn.bam	886787467357b5116321a512d55d9413	10980181487	released
